Channel_Name,Channel_ID,Date_of_Publishing,Hour_GMT2,Title,Description,Tags,video_type,View_Count,Like_Count,Comment_Count,Favorite_Count,Definition,Has_Captions,Licensed_Content,Topic_Categories,Names_Extracted,Video_ID,Duration,Thumbnail_URL
Wywiadowcy Podcast,UChgp0bnprzgBQLWAc-PEgvg,2025-07-30,11:00,Prof. Włodzisław Duch o elektrycznych owcach #shorts,,"wywiadowcy podcast, wywiadowcy, na dachu, rozmowa, wywiad, nauka, filozof, informatyk, sztuczna inteligencja, AI, duch wywiadowcy, włodzisław duch rozmowa, włodzisław duch wywiad, duch rozmowa, włodzisław duch, duch wywiad, duch, lepsi ludzie, naukowiec, profesor duch, światy wirtualne, filozofia, karl popper, mózg, umysł, wyobrażenia, kultura, sieci neuronowe, łowca androidów, książka, philip k dick, czy androidy śnią o elektrycznych owcach, elektryczne owce",shorts,1867,35,0,0,hd,true,True,28,Włodzisław Duch,JIa2lNG3f_E,PT52S,https://i.ytimg.com/vi/JIa2lNG3f_E/default.jpg
Wywiadowcy Podcast,UChgp0bnprzgBQLWAc-PEgvg,2025-07-28,11:00,Prof. Włodzisław Duch o dyskusji dwóch botów #shorts,,"wywiadowcy podcast, wywiadowcy, na dachu, rozmowa, wywiad, nauka, kognitywista, filozof, informatyk, sztuczna inteligencja, AI, duch wywiadowcy, włodzisław duch rozmowa, włodzisław duch wywiad, duch rozmowa, włodzisław duch, duch wywiad, duch, lepsi ludzie, czat, chat gpt, naukowiec, profesor duch, dyskusja, bot, chatllm, ludzie, mózg, wszechświat, prawo, myślę więc jestem, egotyzm, inteligencja, punkt widzenia, świadomość, podrzędne istoty",shorts,13730,328,12,0,hd,true,True,28,Włodzisław Duch,HPL--CCN3XA,PT55S,https://i.ytimg.com/vi/HPL--CCN3XA/default.jpg
Przemek Górczyk Podcast,UCrKY6A2xsHXgw3MK9mkan5w,2025-07-29,18:30,04 Najgorszy Moment w Mauretanii – ft. Piotr Pająk,"Całość rozmowy oglądaj tutaj: https://youtu.be/ApFFXJpBuZg
🎧 Słuchaj na Spotify: https://open.spotify.com/episode/6EQOmpUXavkC8AvmrwMCFf
Dodatkowe materiały tutaj: https://www.instagram.com/przemekgorczyk/
Wejdź na https://hecato.pl i zobacz, co dla Ciebie przygotowaliśmy.
Dołącz do newslettera i zapomnij, że niemdziela wieczur i humor popsuty: https://pgpodcast.pl/news

#podróże #Tajlandia #MMA",,shorts,4362,31,1,0,hd,false,True,27,"Najgorszy Moment, Piotr Pająk",Uxjr96EOGq4,PT33S,https://i.ytimg.com/vi/Uxjr96EOGq4/default.jpg
Przemek Górczyk Podcast,UCrKY6A2xsHXgw3MK9mkan5w,2025-07-30,17:06,10 Gdzie Nauczyć Się Rozmawiać z Ludźmi? – ft. Piotr Pająk,"Całość rozmowy oglądaj tutaj: https://youtu.be/ApFFXJpBuZg
🎧 Słuchaj na Spotify: https://open.spotify.com/episode/6EQOmpUXavkC8AvmrwMCFf
Dodatkowe materiały tutaj: https://www.instagram.com/przemekgorczyk/
Wejdź na https://hecato.pl i zobacz, co dla Ciebie przygotowaliśmy.
Dołącz do newslettera i zapomnij, że niemdziela wieczur i humor popsuty: https://pgpodcast.pl/news

#podróże #Tajlandia #MMA",,shorts,7110,83,1,0,hd,false,True,27,"Gdzie Nauczyć, Się Rozmawiać, Piotr Pająk, Gdzie Nauczyć Się",oavUOIAJd5s,PT37S,https://i.ytimg.com/vi/oavUOIAJd5s/default.jpg
Przemek Górczyk Podcast,UCrKY6A2xsHXgw3MK9mkan5w,2025-07-30,13:09,09 Jak Rosjanie Reagują Na Polaków? – ft. Piotr Pająk,"Całość rozmowy oglądaj tutaj: https://youtu.be/ApFFXJpBuZg
🎧 Słuchaj na Spotify: https://open.spotify.com/episode/6EQOmpUXavkC8AvmrwMCFf
Dodatkowe materiały tutaj: https://www.instagram.com/przemekgorczyk/
Wejdź na https://hecato.pl i zobacz, co dla Ciebie przygotowaliśmy.
Dołącz do newslettera i zapomnij, że niemdziela wieczur i humor popsuty: https://pgpodcast.pl/news

#podróże #Tajlandia #MMA",,long,17135,264,4,0,hd,false,True,27,"Reagują Na, Jak Rosjanie, Piotr Pająk, Jak Rosjanie Reagują",iBkbLAI4Jqc,PT1M9S,https://i.ytimg.com/vi/iBkbLAI4Jqc/default.jpg
Przemek Górczyk Podcast,UCrKY6A2xsHXgw3MK9mkan5w,2025-07-30,11:00,08 Tam Ludzie Są Uzbrojeni Strasznie – ft. Piotr Pająk,"Całość rozmowy oglądaj tutaj: https://youtu.be/ApFFXJpBuZg
🎧 Słuchaj na Spotify: https://open.spotify.com/episode/6EQOmpUXavkC8AvmrwMCFf
Dodatkowe materiały tutaj: https://www.instagram.com/przemekgorczyk/
Wejdź na https://hecato.pl i zobacz, co dla Ciebie przygotowaliśmy.
Dołącz do newslettera i zapomnij, że niemdziela wieczur i humor popsuty: https://pgpodcast.pl/news

#podróże #Tajlandia #MMA",,shorts,12899,147,8,0,hd,false,True,27,"Są Uzbrojeni, Tam Ludzie, Piotr Pająk, Tam Ludzie Są",-38xZSfoyPE,PT48S,https://i.ytimg.com/vi/-38xZSfoyPE/default.jpg
Przemek Górczyk Podcast,UCrKY6A2xsHXgw3MK9mkan5w,2025-07-30,10:00,07 Jak Działa Izraelska Agencja Wywiadowcza? – ft. Piotr Pająk,"Całość rozmowy oglądaj tutaj: https://youtu.be/ApFFXJpBuZg
🎧 Słuchaj na Spotify: https://open.spotify.com/episode/6EQOmpUXavkC8AvmrwMCFf
Dodatkowe materiały tutaj: https://www.instagram.com/przemekgorczyk/
Wejdź na https://hecato.pl i zobacz, co dla Ciebie przygotowaliśmy.
Dołącz do newslettera i zapomnij, że niemdziela wieczur i humor popsuty: https://pgpodcast.pl/news

#podróże #Tajlandia #MMA",,shorts,23346,253,11,0,hd,false,True,27,"Izraelska Agencja, Jak Działa Izraelska, Piotr Pająk, Jak Działa",BF2ABj7jePI,PT37S,https://i.ytimg.com/vi/BF2ABj7jePI/default.jpg
Przemek Górczyk Podcast,UCrKY6A2xsHXgw3MK9mkan5w,2025-07-30,09:01,06 Najbrudniejsze Kraje Świata – ft. Piotr Pająk,"Całość rozmowy oglądaj tutaj: https://youtu.be/ApFFXJpBuZg
🎧 Słuchaj na Spotify: https://open.spotify.com/episode/6EQOmpUXavkC8AvmrwMCFf
Dodatkowe materiały tutaj: https://www.instagram.com/przemekgorczyk/
Wejdź na https://hecato.pl i zobacz, co dla Ciebie przygotowaliśmy.
Dołącz do newslettera i zapomnij, że niemdziela wieczur i humor popsuty: https://pgpodcast.pl/news

#podróże #Tajlandia #MMA",,shorts,5073,48,0,0,hd,false,True,27,"Najbrudniejsze Kraje Świata, Piotr Pająk, Najbrudniejsze Kraje",nzmLWnH69DY,PT23S,https://i.ytimg.com/vi/nzmLWnH69DY/default.jpg
Przemek Górczyk Podcast,UCrKY6A2xsHXgw3MK9mkan5w,2025-07-30,08:34,"05 Spokojnie, Ja Nie Jestem Bezdomny – ft. Piotr Pająk","Całość rozmowy oglądaj tutaj: https://youtu.be/ApFFXJpBuZg
🎧 Słuchaj na Spotify: https://open.spotify.com/episode/6EQOmpUXavkC8AvmrwMCFf
Dodatkowe materiały tutaj: https://www.instagram.com/przemekgorczyk/
Wejdź na https://hecato.pl i zobacz, co dla Ciebie przygotowaliśmy.
Dołącz do newslettera i zapomnij, że niemdziela wieczur i humor popsuty: https://pgpodcast.pl/news

#podróże #Tajlandia #MMA",,long,3483,85,4,0,hd,false,True,27,"Jestem Bezdomny, Ja Nie Jestem, Piotr Pająk, Ja Nie",fiAL8aEn3Ng,PT1M5S,https://i.ytimg.com/vi/fiAL8aEn3Ng/default.jpg
Przemek Górczyk Podcast,UCrKY6A2xsHXgw3MK9mkan5w,2025-07-29,17:45,03 Dlaczego Hostel Jest Lepszy Od Hotelu? – ft. Piotr Pająk,"Całość rozmowy oglądaj tutaj: https://youtu.be/ApFFXJpBuZg
🎧 Słuchaj na Spotify: https://open.spotify.com/episode/6EQOmpUXavkC8AvmrwMCFf
Dodatkowe materiały tutaj: https://www.instagram.com/przemekgorczyk/
Wejdź na https://hecato.pl i zobacz, co dla Ciebie przygotowaliśmy.
Dołącz do newslettera i zapomnij, że niemdziela wieczur i humor popsuty: https://pgpodcast.pl/news

#podróże #Tajlandia #MMA",,shorts,15935,154,0,0,hd,false,True,27,"Lepszy Od Hotelu, Od Hotelu, Piotr Pająk, Jest Lepszy, Dlaczego Hostel Jest, Dlaczego Hostel",vtuaqUOhRTg,PT47S,https://i.ytimg.com/vi/vtuaqUOhRTg/default.jpg
