Channel_Name,Channel_ID,Date_of_Publishing,Hour_GMT2,Title,Description,Tags,video_type,View_Count,Like_Count,Comment_Count,Favorite_Count,Definition,Has_Captions,Licensed_Content,Topic_Categories,Names_Extracted,Video_ID,Duration,Thumbnail_URL
Wywiadowcy Podcast,UChgp0bnprzgBQLWAc-PEgvg,2025-07-30,11:00,Prof. Włodzisław Duch o elektrycznych owcach #shorts,,"wywiadowcy podcast, wywiadowcy, na dachu, rozmowa, wywiad, nauka, filozof, informatyk, sztuczna inteligencja, AI, duch wywiadowcy, włodzisław duch rozmowa, włodzisław duch wywiad, duch rozmowa, włodzisław duch, duch wywiad, duch, lepsi ludzie, naukowiec, profesor duch, światy wirtualne, filozofia, karl popper, mózg, umysł, wyobrażenia, kultura, sieci neuronowe, łowca androidów, książka, philip k dick, czy androidy śnią o elektrycznych owcach, elektryczne owce",shorts,3052,64,0,0,hd,true,True,28,Włodzisław Duch,JIa2lNG3f_E,PT52S,https://i.ytimg.com/vi/JIa2lNG3f_E/default.jpg
Przemek Górczyk Podcast,UCrKY6A2xsHXgw3MK9mkan5w,2025-07-31,11:01,14 Jak Wygląda Wspinaczka w Wysokich Górach? – ft. Piotr Pająk,"Całość rozmowy oglądaj tutaj: https://youtu.be/ApFFXJpBuZg
🎧 Słuchaj na Spotify: https://open.spotify.com/episode/6EQOmpUXavkC8AvmrwMCFf
Dodatkowe materiały tutaj: https://www.instagram.com/przemekgorczyk/
Wejdź na https://hecato.pl i zobacz, co dla Ciebie przygotowaliśmy.
Dołącz do newslettera i zapomnij, że niemdziela wieczur i humor popsuty: https://pgpodcast.pl/news

#podróże #Tajlandia #mma 

YouTube Gościa: @PodróżeWojownika",,shorts,7473,76,0,0,hd,false,True,27,"Piotr Pająk, Jak Wygląda, Jak Wygląda Wspinaczka, Wysokich Górach",hhhsq4nBHGc,PT30S,https://i.ytimg.com/vi/hhhsq4nBHGc/default.jpg
Przemek Górczyk Podcast,UCrKY6A2xsHXgw3MK9mkan5w,2025-07-31,10:00,13 Zawinęło Mnie Chińskie Wojsko – ft. Piotr Pająk,"Całość rozmowy oglądaj tutaj: https://youtu.be/ApFFXJpBuZg
🎧 Słuchaj na Spotify: https://open.spotify.com/episode/6EQOmpUXavkC8AvmrwMCFf
Dodatkowe materiały tutaj: https://www.instagram.com/przemekgorczyk/
Wejdź na https://hecato.pl i zobacz, co dla Ciebie przygotowaliśmy.
Dołącz do newslettera i zapomnij, że niemdziela wieczur i humor popsuty: https://pgpodcast.pl/news

#podróże #Tajlandia #mma 

YouTube Gościa: @PodróżeWojownika",,long,31771,344,9,0,hd,false,True,27,"Zawinęło Mnie, Chińskie Wojsko, Piotr Pająk, Zawinęło Mnie Chińskie",BTGwgRIDcfg,PT1M7S,https://i.ytimg.com/vi/BTGwgRIDcfg/default.jpg
Przemek Górczyk Podcast,UCrKY6A2xsHXgw3MK9mkan5w,2025-07-31,09:01,12 Co ChatGPT Mówi o Rosji? – ft. Piotr Pająk,"Całość rozmowy oglądaj tutaj: https://youtu.be/ApFFXJpBuZg
🎧 Słuchaj na Spotify: https://open.spotify.com/episode/6EQOmpUXavkC8AvmrwMCFf
Dodatkowe materiały tutaj: https://www.instagram.com/przemekgorczyk/
Wejdź na https://hecato.pl i zobacz, co dla Ciebie przygotowaliśmy.
Dołącz do newslettera i zapomnij, że niemdziela wieczur i humor popsuty: https://pgpodcast.pl/news

#podróże #Tajlandia #mma 

YouTube Gościa: @PodróżeWojownika",,shorts,11295,119,0,0,hd,false,True,27,Piotr Pająk,qkWxcw_Sqgc,PT56S,https://i.ytimg.com/vi/qkWxcw_Sqgc/default.jpg
Przemek Górczyk Podcast,UCrKY6A2xsHXgw3MK9mkan5w,2025-07-31,08:01,11 Polacy Na Syberii – ft. Piotr Pająk,"Całość rozmowy oglądaj tutaj: https://youtu.be/ApFFXJpBuZg
🎧 Słuchaj na Spotify: https://open.spotify.com/episode/6EQOmpUXavkC8AvmrwMCFf
Dodatkowe materiały tutaj: https://www.instagram.com/przemekgorczyk/
Wejdź na https://hecato.pl i zobacz, co dla Ciebie przygotowaliśmy.
Dołącz do newslettera i zapomnij, że niemdziela wieczur i humor popsuty: https://pgpodcast.pl/news

#podróże #Tajlandia #mma 

YouTube Gościa: @PodróżeWojownika",,long,27499,364,4,0,hd,false,True,27,"Piotr Pająk, Polacy Na Syberii, Polacy Na",hhjWNFVyImQ,PT1M4S,https://i.ytimg.com/vi/hhjWNFVyImQ/default.jpg
Przemek Górczyk Podcast,UCrKY6A2xsHXgw3MK9mkan5w,2025-07-30,17:06,10 Gdzie Nauczyć Się Rozmawiać z Ludźmi? – ft. Piotr Pająk,"Całość rozmowy oglądaj tutaj: https://youtu.be/ApFFXJpBuZg
🎧 Słuchaj na Spotify: https://open.spotify.com/episode/6EQOmpUXavkC8AvmrwMCFf
Dodatkowe materiały tutaj: https://www.instagram.com/przemekgorczyk/
Wejdź na https://hecato.pl i zobacz, co dla Ciebie przygotowaliśmy.
Dołącz do newslettera i zapomnij, że niemdziela wieczur i humor popsuty: https://pgpodcast.pl/news

#podróże #Tajlandia #mma 

YouTube Gościa: @PodróżeWojownika",,shorts,15809,154,2,0,hd,false,True,27,"Gdzie Nauczyć, Się Rozmawiać, Piotr Pająk, Gdzie Nauczyć Się",oavUOIAJd5s,PT37S,https://i.ytimg.com/vi/oavUOIAJd5s/default.jpg
Przemek Górczyk Podcast,UCrKY6A2xsHXgw3MK9mkan5w,2025-07-30,13:09,09 Jak Rosjanie Reagują Na Polaków? – ft. Piotr Pająk,"Całość rozmowy oglądaj tutaj: https://youtu.be/ApFFXJpBuZg
🎧 Słuchaj na Spotify: https://open.spotify.com/episode/6EQOmpUXavkC8AvmrwMCFf
Dodatkowe materiały tutaj: https://www.instagram.com/przemekgorczyk/
Wejdź na https://hecato.pl i zobacz, co dla Ciebie przygotowaliśmy.
Dołącz do newslettera i zapomnij, że niemdziela wieczur i humor popsuty: https://pgpodcast.pl/news

#podróże #Tajlandia #mma 

YouTube Gościa: @PodróżeWojownika",,long,55720,670,53,0,hd,false,True,27,"Reagują Na, Jak Rosjanie, Piotr Pająk, Jak Rosjanie Reagują",iBkbLAI4Jqc,PT1M9S,https://i.ytimg.com/vi/iBkbLAI4Jqc/default.jpg
Przemek Górczyk Podcast,UCrKY6A2xsHXgw3MK9mkan5w,2025-07-30,11:00,08 Tam Ludzie Są Uzbrojeni Strasznie – ft. Piotr Pająk,"Całość rozmowy oglądaj tutaj: https://youtu.be/ApFFXJpBuZg
🎧 Słuchaj na Spotify: https://open.spotify.com/episode/6EQOmpUXavkC8AvmrwMCFf
Dodatkowe materiały tutaj: https://www.instagram.com/przemekgorczyk/
Wejdź na https://hecato.pl i zobacz, co dla Ciebie przygotowaliśmy.
Dołącz do newslettera i zapomnij, że niemdziela wieczur i humor popsuty: https://pgpodcast.pl/news

#podróże #Tajlandia #mma 

YouTube Gościa: @PodróżeWojownika",,shorts,24841,256,14,0,hd,false,True,27,"Są Uzbrojeni, Tam Ludzie, Piotr Pająk, Tam Ludzie Są",-38xZSfoyPE,PT48S,https://i.ytimg.com/vi/-38xZSfoyPE/default.jpg
Przemek Górczyk Podcast,UCrKY6A2xsHXgw3MK9mkan5w,2025-07-30,10:00,07 Jak Działa Izraelska Agencja Wywiadowcza? – ft. Piotr Pająk,"Całość rozmowy oglądaj tutaj: https://youtu.be/ApFFXJpBuZg
🎧 Słuchaj na Spotify: https://open.spotify.com/episode/6EQOmpUXavkC8AvmrwMCFf
Dodatkowe materiały tutaj: https://www.instagram.com/przemekgorczyk/
Wejdź na https://hecato.pl i zobacz, co dla Ciebie przygotowaliśmy.
Dołącz do newslettera i zapomnij, że niemdziela wieczur i humor popsuty: https://pgpodcast.pl/news

#podróże #Tajlandia #mma 

YouTube Gościa: @PodróżeWojownika",,shorts,35889,378,18,0,hd,false,True,27,"Izraelska Agencja, Jak Działa Izraelska, Piotr Pająk, Jak Działa",BF2ABj7jePI,PT37S,https://i.ytimg.com/vi/BF2ABj7jePI/default.jpg
Przemek Górczyk Podcast,UCrKY6A2xsHXgw3MK9mkan5w,2025-07-30,09:01,06 Najbrudniejsze Kraje Świata – ft. Piotr Pająk,"Całość rozmowy oglądaj tutaj: https://youtu.be/ApFFXJpBuZg
🎧 Słuchaj na Spotify: https://open.spotify.com/episode/6EQOmpUXavkC8AvmrwMCFf
Dodatkowe materiały tutaj: https://www.instagram.com/przemekgorczyk/
Wejdź na https://hecato.pl i zobacz, co dla Ciebie przygotowaliśmy.
Dołącz do newslettera i zapomnij, że niemdziela wieczur i humor popsuty: https://pgpodcast.pl/news

#podróże #Tajlandia #mma 

YouTube Gościa: @PodróżeWojownika",,shorts,6334,56,0,0,hd,false,True,27,"Najbrudniejsze Kraje Świata, Piotr Pająk, Najbrudniejsze Kraje",nzmLWnH69DY,PT23S,https://i.ytimg.com/vi/nzmLWnH69DY/default.jpg
Przemek Górczyk Podcast,UCrKY6A2xsHXgw3MK9mkan5w,2025-07-30,08:34,"05 Spokojnie, Ja Nie Jestem Bezdomny – ft. Piotr Pająk","Całość rozmowy oglądaj tutaj: https://youtu.be/ApFFXJpBuZg
🎧 Słuchaj na Spotify: https://open.spotify.com/episode/6EQOmpUXavkC8AvmrwMCFf
Dodatkowe materiały tutaj: https://www.instagram.com/przemekgorczyk/
Wejdź na https://hecato.pl i zobacz, co dla Ciebie przygotowaliśmy.
Dołącz do newslettera i zapomnij, że niemdziela wieczur i humor popsuty: https://pgpodcast.pl/news

#podróże #Tajlandia #mma 

YouTube Gościa: @PodróżeWojownika",,long,6466,120,5,0,hd,false,True,27,"Jestem Bezdomny, Ja Nie Jestem, Piotr Pająk, Ja Nie",fiAL8aEn3Ng,PT1M5S,https://i.ytimg.com/vi/fiAL8aEn3Ng/default.jpg
Cyprian Majcher,UCeutiD5CfqFwIT91uS35OVw,2025-07-31,16:00,Cyfrowe euro nadchodzi. Czy Polska zostanie zmuszona je przyjąć? - Trader21,,"podcast, cyprian majcher, wywiad, trader21, cezary głuch, inwestowanie, niezależność finansowa, giełda, pieniądze, ekonomia, kryzys finansowy, edukacja finansowa, jak inwestować, rynek finansowy, dźwignia finansowa, inteligentny inwestor, wolność finansowa, inwestor, finanse osobiste, system finansowy, inwestycje",shorts,2711,92,2,0,hd,false,True,27,Czy Polska,aBuNah7i7ew,PT48S,https://i.ytimg.com/vi/aBuNah7i7ew/default.jpg
Cyprian Majcher,UCeutiD5CfqFwIT91uS35OVw,2025-07-31,13:01,Chcieli bezgotówkowego raju. Dziś ostrzegają przed katastrofą - Trader21,,"podcast, cyprian majcher, wywiad, trader21, cezary głuch, inwestowanie, niezależność finansowa, giełda, pieniądze, ekonomia, kryzys finansowy, edukacja finansowa, jak inwestować, rynek finansowy, dźwignia finansowa, inteligentny inwestor, wolność finansowa, inwestor, finanse osobiste, system finansowy, inwestycje",shorts,4201,140,0,0,hd,false,True,27,,dpplhPaMNCk,PT34S,https://i.ytimg.com/vi/dpplhPaMNCk/default.jpg
Cyprian Majcher,UCeutiD5CfqFwIT91uS35OVw,2025-07-31,10:00,Eliminacja gotówki = eliminacja wolności? Przykład z Kanady mówi wszystko - Trader21,,"podcast, cyprian majcher, wywiad, trader21, cezary głuch, inwestowanie, niezależność finansowa, giełda, pieniądze, ekonomia, kryzys finansowy, edukacja finansowa, jak inwestować, rynek finansowy, dźwignia finansowa, inteligentny inwestor, wolność finansowa, inwestor, finanse osobiste, system finansowy, inwestycje",shorts,2196,91,1,0,hd,false,True,27,,CdzHe37pIbU,PT47S,https://i.ytimg.com/vi/CdzHe37pIbU/default.jpg
Cyprian Majcher,UCeutiD5CfqFwIT91uS35OVw,2025-07-31,07:00,Od ostracyzmu do prawdy. Tak wygląda cena mówienia niewygodnych faktów - Trader21,,"podcast, cyprian majcher, wywiad, trader21, cezary głuch, inwestowanie, niezależność finansowa, giełda, pieniądze, ekonomia, kryzys finansowy, edukacja finansowa, jak inwestować, rynek finansowy, dźwignia finansowa, inteligentny inwestor, wolność finansowa, inwestor, finanse osobiste, system finansowy, inwestycje",shorts,8691,202,7,0,hd,false,True,27,,Rl3qjpH-kUY,PT37S,https://i.ytimg.com/vi/Rl3qjpH-kUY/default.jpg
Cyprian Majcher,UCeutiD5CfqFwIT91uS35OVw,2025-07-30,19:01,Banki kontra klienci. Kto tu naprawdę dba o twój interes? - Trader21,,"podcast, cyprian majcher, wywiad, trader21, cezary głuch, inwestowanie, niezależność finansowa, giełda, pieniądze, ekonomia, kryzys finansowy, edukacja finansowa, jak inwestować, rynek finansowy, dźwignia finansowa, inteligentny inwestor, wolność finansowa, inwestor, finanse osobiste, system finansowy, inwestycje",shorts,3687,88,1,0,hd,false,True,27,,zGmvhQmqm24,PT55S,https://i.ytimg.com/vi/zGmvhQmqm24/default.jpg
