candidate,is_guest
Adam Mirek,unknown
Agnieszkę Kaczorowską,unknown
Alicja Długołęcka,unknown
Ama Dablam,unknown
Arkuszyńska Gosia,unknown
Arlety Bojke,unknown
Barbara Bursztynowicz,unknown
Bartosz Majewski,unknown
Biznes Klasie,unknown
Chińskie Wojsko,unknown
Dariusz Kamys,unknown
Działa Izraelska,unknown
Dziś  Ponad,unknown
Długołęcka Gosia,unknown
Edyta Bartosiewicz,unknown
Europejską  Odpowiada,unknown
Ewa Kasprzyk,unknown
Garg Gosia,unknown
Gawkowski  Gabinet,unknown
Giełzak  Ziemkiewicz,unknown
Gosia Ohme,unknown
Idzie Polskie,unknown
Iwona Pavlović,unknown
Jakim Kierunku,unknown
Jerzy Brzęczek,unknown
Joanna Kołaczkowska,unknown
Joanny Kołaczkowskiej,unknown
Joannę Kołaczkowską,unknown
Kafka Odc,unknown
Karolina Gilon,unknown
Katarzyna Miller,unknown
Koniec Bodnara,unknown
Kołaczkowskiej  Fani,unknown
Kołaczkowskiej  Jej,unknown
Kołaczkowskiej  Wzruszające,unknown
Kołaczkowskiej  Zrobiła,unknown
Krzysztof Bosak,unknown
Latała Gosia,unknown
Lech Kaniuk,unknown
Lepszy Od,unknown
Leszek Żebrowski,unknown
Ludzie Są,unknown
Marcin Majewski,unknown
Marzeny Kipiel,unknown
Maya Ori,unknown
Miller Gosia,unknown
Młodych Ludzi,unknown
Najbrudniejsze Kraje,unknown
Najgorszy Moment,unknown
Piotr Latała,unknown
Piotr Pająk,unknown
Piotr Polo,unknown
Piotrka Pająka,unknown
Pogrzeb Joanny,unknown
Polacy Na,unknown
Powstaniu Warszawskim,unknown
Promują Ideologie,unknown
Przetrwał Do,unknown
Rada Dla,unknown
Reagują Na,unknown
Reakcja Agnieszki,unknown
Roman Kołtoń,unknown
Serialowa Mariolka,unknown
Się Rozmawiać,unknown
Sobie Więcej,unknown
Tadeusz Oleszczuk,unknown
Tatiana Mindewicz,unknown
Trump Wygrał,unknown
Uzbrojeni Strasznie,unknown
Wygląda Korea,unknown
Wygląda Życie,unknown
Włodzimierz Czarzasty,unknown
Włodzisław Duch,unknown
Zarabiać Więcej,unknown
Zawinęło Mnie,unknown
Zbyszek Nowak,unknown
