guest,total_count,spike,score
Piotr Polo,45,True,3
Włodzimierz Czarzasty,37,True,3
Piotr Pająk,26,True,3
Tadeusz Oleszczuk,22,True,2
Gosia Ohme,11,True,2
Bartosz Majewski,11,False,1
Się Rozmawiać,3,True,1
Ludzie Są,3,True,1
Uzbrojeni Strasznie,3,True,1
Działa Izraelska,3,True,1
Najbrudniejsze Kraje,3,True,1
Arlety Bojke,3,True,1
Gawkowski  Gabinet,3,True,1
Giełzak  Ziemkiewicz,3,True,1
Koniec Bodnara,3,True,1
Katarzyna Miller,3,True,1
Serialowa Mariolka,3,True,1
Marzeny Kipiel,3,True,1
Kołaczkowskiej  Fani,3,True,1
Adam Mirek,9,False,0
Reagują Na,6,False,0
Piotr Latała,6,False,0
Włodzisław Duch,5,False,0
Kafka Odc,4,False,0
Lepszy Od,3,False,0
Przetrwał Do,3,False,0
Wygląda Życie,3,False,0
Młodych Ludzi,3,False,0
Najgorszy Moment,3,False,0
Dziś  Ponad,3,False,0
Promują Ideologie,3,False,0
Jerzy Brzęczek,3,False,0
Maya Ori,3,False,0
Dariusz Kamys,3,False,0
Wygląda Korea,2,False,0
Trump Wygrał,2,False,0
Rada Dla,2,False,0
Roman Kołtoń,2,False,0
Arkuszyńska Gosia,2,False,0
Kołaczkowskiej  Wzruszające,2,False,0
Kołaczkowskiej  Jej,2,False,0
Edyta Bartosiewicz,2,False,0
Kołaczkowskiej  Zrobiła,2,False,0
Pogrzeb Joanny,2,False,0
Joanna Kołaczkowska,2,False,0
Zawinęło Mnie,2,False,0
Chińskie Wojsko,2,False,0
Polacy Na,2,False,0
Piotrka Pająka,2,False,0
Powstaniu Warszawskim,2,False,0
Leszek Żebrowski,2,False,0
Długołęcka Gosia,2,False,0
Miller Gosia,2,False,0
Garg Gosia,2,False,0
Reakcja Agnieszki,2,False,0
Joanny Kołaczkowskiej,2,False,0
Joannę Kołaczkowską,2,False,0
Zarabiać Więcej,1,False,0
Sobie Więcej,1,False,0
Jakim Kierunku,1,False,0
Idzie Polskie,1,False,0
Ama Dablam,1,False,0
Marcin Majewski,1,False,0
Europejską  Odpowiada,1,False,0
Zbyszek Nowak,1,False,0
Lech Kaniuk,1,False,0
Tatiana Mindewicz,1,False,0
Latała Gosia,1,False,0
Biznes Klasie,1,False,0
Krzysztof Bosak,1,False,0
Alicja Długołęcka,1,False,0
Barbara Bursztynowicz,1,False,0
Agnieszkę Kaczorowską,1,False,0
Karolina Gilon,1,False,0
Iwona Pavlović,1,False,0
Ewa Kasprzyk,1,False,0
