guest,count_last3,count_prev3,growth_abs,growth_pct,spike
Piotr Polo,33,12,21,175.0,True
Włodzimierz Czarzasty,14,23,-9,-39.1,True
Piotr Pająk,15,11,4,36.4,True
Tadeusz Oleszczuk,6,16,-10,-62.5,True
Bartosz Majewski,1,10,-9,-90.0,False
Gosia Ohme,7,4,3,75.0,True
Adam Mirek,4,5,-1,-20.0,False
Reagują Na,3,3,0,0.0,False
Piotr Latała,1,5,-4,-80.0,False
Włodzisław Duch,2,3,-1,-33.3,False
Kafka Odc,2,2,0,0.0,False
Lepszy Od,1,2,-1,-50.0,False
Przetrwał Do,1,2,-1,-50.0,False
Wygląda Życie,1,2,-1,-50.0,False
Młodych Ludzi,0,3,-3,-100.0,False
Najgorszy Moment,1,2,-1,-50.0,False
Dziś  Ponad,1,2,-1,-50.0,False
Promują Ideologie,1,2,-1,-50.0,False
Jerzy Brzęczek,1,2,-1,-50.0,False
Maya Ori,1,2,-1,-50.0,False
Dariusz Kamys,1,2,-1,-50.0,False
Się Rozmawiać,2,1,1,100.0,True
Ludzie Są,2,1,1,100.0,True
Uzbrojeni Strasznie,2,1,1,100.0,True
Działa Izraelska,2,1,1,100.0,True
Najbrudniejsze Kraje,2,1,1,100.0,True
Arlety Bojke,2,1,1,100.0,True
Gawkowski  Gabinet,2,1,1,100.0,True
Giełzak  Ziemkiewicz,2,1,1,100.0,True
Koniec Bodnara,2,1,1,100.0,True
Katarzyna Miller,2,1,1,100.0,True
Serialowa Mariolka,2,1,1,100.0,True
Marzeny Kipiel,2,1,1,100.0,True
Kołaczkowskiej  Fani,2,1,1,100.0,True
Wygląda Korea,0,2,-2,-100.0,False
Trump Wygrał,0,2,-2,-100.0,False
Rada Dla,0,2,-2,-100.0,False
Roman Kołtoń,0,2,-2,-100.0,False
Arkuszyńska Gosia,0,2,-2,-100.0,False
Kołaczkowskiej  Wzruszające,0,2,-2,-100.0,False
Kołaczkowskiej  Jej,0,2,-2,-100.0,False
Edyta Bartosiewicz,0,2,-2,-100.0,False
Kołaczkowskiej  Zrobiła,0,2,-2,-100.0,False
Pogrzeb Joanny,0,2,-2,-100.0,False
Joanna Kołaczkowska,0,2,-2,-100.0,False
Zawinęło Mnie,2,0,2,0.0,False
Chińskie Wojsko,2,0,2,0.0,False
Polacy Na,2,0,2,0.0,False
Piotrka Pająka,2,0,2,0.0,False
Powstaniu Warszawskim,2,0,2,0.0,False
Leszek Żebrowski,2,0,2,0.0,False
Długołęcka Gosia,2,0,2,0.0,False
Miller Gosia,2,0,2,0.0,False
Garg Gosia,2,0,2,0.0,False
Reakcja Agnieszki,2,0,2,0.0,False
Joanny Kołaczkowskiej,2,0,2,0.0,False
Joannę Kołaczkowską,2,0,2,0.0,False
Zarabiać Więcej,0,1,-1,-100.0,False
Sobie Więcej,0,1,-1,-100.0,False
Jakim Kierunku,0,1,-1,-100.0,False
Idzie Polskie,0,1,-1,-100.0,False
Ama Dablam,0,1,-1,-100.0,False
Marcin Majewski,0,1,-1,-100.0,False
Europejską  Odpowiada,0,1,-1,-100.0,False
Zbyszek Nowak,0,1,-1,-100.0,False
Lech Kaniuk,0,1,-1,-100.0,False
Tatiana Mindewicz,0,1,-1,-100.0,False
Latała Gosia,0,1,-1,-100.0,False
Biznes Klasie,0,1,-1,-100.0,False
Krzysztof Bosak,1,0,1,0.0,False
Alicja Długołęcka,1,0,1,0.0,False
Barbara Bursztynowicz,1,0,1,0.0,False
Agnieszkę Kaczorowską,1,0,1,0.0,False
Karolina Gilon,1,0,1,0.0,False
Iwona Pavlović,1,0,1,0.0,False
Ewa Kasprzyk,1,0,1,0.0,False
