title,detected_names,names_count
Prof. Włodzisław Duch o elektrycznych owcach #shorts,Włodzisław Duch,1
14 Jak Wygląda Wspinaczka w Wysokich Górach? – ft. Piotr Pająk,"Jak Wygląda, Piotr Pająk",2
13 Zawinęło Mnie Chińskie Wojsko – ft. Piotr Pająk,"Zawinęło Mnie, Chińskie Wojsko, Piotr Pająk",3
12 Co ChatGPT Mówi o Rosji? – ft. Piotr Pająk,,0
11 Polacy Na Syberii – ft. Piotr Pająk,"Polacy Na, Piotr Pająk",2
10 Gdzie Nauczyć Się Rozmawiać z Ludźmi? – ft. Piotr Pająk,"Gdzie Nauczyć, Się Rozmawiać",2
09 Jak Rosjanie Reagują Na Polaków? – ft. Piotr Pająk,"Jak Rosjanie, Reagują Na",2
08 Tam Ludzie Są Uzbrojeni Strasznie – ft. Piotr Pająk,"Ludzie Są, Uzbrojeni Strasznie, Piotr Pająk",3
07 Jak Działa Izraelska Agencja Wywiadowcza? – ft. Piotr Pająk,"Działa Izraelska, Piotr Pająk",2
06 Najbrudniejsze Kraje Świata – ft. Piotr Pająk,"Najbrudniejsze Kraje, Piotr Pająk",2
"05 Spokojnie, Ja Nie Jestem Bezdomny – ft. Piotr Pająk",,0
Cyfrowe euro nadchodzi. Czy Polska zostanie zmuszona je przyjąć? - Trader21,,0
Chcieli bezgotówkowego raju. Dziś ostrzegają przed katastrofą - Trader21,,0
Eliminacja gotówki = eliminacja wolności? Przykład z Kanady mówi wszystko - Trader21,,0
Od ostracyzmu do prawdy. Tak wygląda cena mówienia niewygodnych faktów - Trader21,,0
Banki kontra klienci. Kto tu naprawdę dba o twój interes? - Trader21,,0
Koniec wolności: jak system chce pozbawić cię pieniędzy? Trader21,,0
Czy po 50. roku życia mężczyzna potrzebuje terapii testosteronem? - dr Tadeusz Oleszczuk,,0
Czy filtry SPF naprawdę są bezpieczne? - dr Tadeusz Oleszczuk,Tadeusz Oleszczuk,1
Zaatakował mnie publicznie. Skończyło się w sądzie - Trader21,,0
Dlatego nigdy nie dotykam Forexu. To gra ustawiona przeciwko tobie - Trader21,,0
"O twarzach kampanii ""Ostatnia Prosta"": Już nigdy nie spojrzę na nich tak samo - Trader21",,0
WHISKY Z COLĄ TO GRZECH? #podcast #shorts,,0
CZY WHISKY DROŻSZA JEST LEPSZA #podcast #shorts,,0
SAMOBOJSTWO LEPPERA #podcast #shorts,,0
"""FETYSZE JAPONEK: DLACZEGO SIĘ TAM NIE GOLĄ  - POWIEM JAK JEST"" PÓŁ POLAK PÓŁ JAPOŃCZYK SZCZERZE ",,0
CZY SMAK WHISKY SIĘ ZMIENIA? #podcast #shorts,,0
JAK ZROBIĆ DOMOWE WHISKY? #podcast #shorts,,0
JAKI LÓD DO WHISKY? #podcast #shorts,,0
Zgadzacie się z Arletą? #arletabojke #putin #rosja,,0
Czego boi się Putin? #putin #rosja #arletabojke,,0
PUTIN się nie cofnie. Czy Polska jest następna? Mocne słowa Arlety Bojke.,Arlety Bojke,1
Co Rosjanie myślą o NATO? #nato #rosja,Co Rosjanie,1
Włodzimierz Czarzasty wspomina wybory 2015,Włodzimierz Czarzasty,1
Piotr Polo Przywarski odpowiada na pytanie Piotrka Pająka,"Piotr Polo, Piotrka Pająka",2
Piotr Polo Przywarski – jaką mądrość życiową chciałby przekazać młodszemu sobie?,Piotr Polo,1
Piotr Polo Przywarski – dlaczego można kupić jedynie jego e-booki?,Piotr Polo,1
Włodzimierz Czarzasty: Świry się nieźle klikają,Włodzimierz Czarzasty,1
Piotr Polo Przywarski – jakich ludzi boi się najbardziej?,Piotr Polo,1
Piotr Polo Przywarski – gdzie jeść w podróży?,Piotr Polo,1
Piotr Polo Przywarski – które miejsce najbardziej go zmieniło?,Piotr Polo,1
Włodzimierz Czarzasty o różnicy miedzy Konfederacją a Lewicą,Włodzimierz Czarzasty,1
"Haiti: brud, syf i bieda – Piotr Polo Przywarski",Piotr Polo,1
Piotr Polo Przywarski – czy kiedykolwiek bał się o przetrwanie kanału?,Piotr Polo,1
Włodzimierz Czarzasty: Populizm w Polsce? To się nazywa Konfederacja,Włodzimierz Czarzasty,1
"""Od dekady nie uprawiam s3ksu bez zabezpieczenia"" Piotr Polo Przywarski",Piotr Polo,1
Piotr Polo Przywarski i afera o odcisk palca w Chinach,Piotr Polo,1
Wyobrażacie sobie świat bez podatków? Włodzimierz Czarzasty,Włodzimierz Czarzasty,1
Piotr Polo Przywarski – dlaczego nie lubił się z Cashem?,Piotr Polo,1
Piotr Polo Przywarski – czy podróżujące kobiety czują się w Afganistanie bezpieczniej niż mężczyźni?,Piotr Polo,1
Włodzimierz Czarzasty – dlaczego rzucił biznes i poszedł w politykę?,Włodzimierz Czarzasty,1
Piotr Polo Przywarski – są miejsca których się boi?,Piotr Polo,1
Piotr Polo Przywarski wspomina nagranie pierwszego vloga,Piotr Polo,1
Piotr Polo Przywarski – skąd w nim taka odwaga?,Piotr Polo,1
Włodzimierz Czarzasty: Koalicja popełnia błędy. I trzeba to głośno powiedzieć!,Włodzimierz Czarzasty,1
Piotr Polo w szybkich pytaniach!,Piotr Polo,1
Piotr Polo Przywarski – nie potrzebuje stabilizacji?,Piotr Polo,1
Piotr Polo Przywarski: podróż to metafizyka,Piotr Polo,1
"Skąd tabletka wie, gdzie boli? | dr inż. Adam Mirek",Adam Mirek,1
Epizod depresyjny często jest poprzedzony stratą | Jakub B. Bączek,,0
Prawdziwi mężczyźni nie płaczą | Debata o depresji mężczyzn,,0
Dużo miasto czy wieś - gdzie jest większe ryzyko depresji? | Debata,,0
Wydrukowana wątroba tylko dla elit? Innych nie będzie stać | dr inż. Adam Mirek,Adam Mirek,1
"Migranci w Polsce – wszyscy komentują, mało kto rozumie | prof. Paweł Kaczmarczyk",,0
„#tantra zmieniła moją relację ze swoim ciałem” #kasianast o intymności tantrycznej✨#podcast,,0
Jak Wam się podoba nasza rozmowa?🙌 Co myślicie? #podcast #kasianast #duchowość #energia,Jak Wam,1
#kasianast pięknie o intymności i dotyku❤️‍🔥 #podcast #tantra #intymność #miłość #dotyk,,0
Niewygodna prawda o Powstaniu Warszawskim. Leszek Żebrowski,"Powstaniu Warszawskim, Leszek Żebrowski",2
Rodziny międzygatunkowe. Kamil Prabucki,,0
Polacy są bardziej tolerancyjni niż Zachód? Kamil Prabucki,,0
Promowana na siłę poprawność. Kamil Prabucki,,0
Eksperyment z myszami. Igor Witkowski,,0
Powstańcy narażali cywili? Leszek Żebrowski,,0
Powstańcy nie mieli broni? Leszek Żebrowski,,0
Powstańcy byli szaleńcami? Leszek Żebrowski,,0
Depresja poporodowa  #balans #podcast #psychoterapia,,0
"Rymanowski, Gawkowski: Gabinet wojenny?",Gawkowski  Gabinet,1
Czy partia Joanny Senyszyn rozbije duopol w Polsce?  #senyszyn #polityka #popis #polska #rymanowski,,0
Za mało kobiet w rządzie? Senyszyn grzmi po rekonstrukcji  #kobieta #rząd #senyszyn #polityka #tusk,,0
Czy Polska to poważne państwo? Jakubiak kontra Senyszyn  #prawo #po #pis #rząd #polska #polityka,Czy Polska,1
"KONTRA #9 Rymanowski, Giełzak, Ziemkiewicz: Co z tą Polską i Europą?",Giełzak  Ziemkiewicz,1
Żurek i sprawiedliwość – czy PiS ma się czego bać?  #senyszyn #jakubiak #żurek #rząd #polityka,,0
Koniec Bodnara w rządzie. Co na to Senyszyn i Jakubiak?  #rząd #bodnar #tusk #polityka #prawo,Koniec Bodnara,1
