title,detected_names,names_count
Prof. Włodzisław Duch o elektrycznych owcach #shorts,"Włodzisław Duch, elektrycznych owcach",2
14 Jak Wygląda Wspinaczka w Wysokich Górach? – ft. Piotr Pająk,"Jak Wygląda, Wspinaczka w Wysokich, Górach? –, Piotr Pająk",4
13 Zawinęło Mnie Chińskie Wojsko – ft. Piotr Pająk,"Zawinęło Mnie, Chińskie Wojsko, Piotr Pająk",3
12 Co ChatGPT Mówi o Rosji? – ft. Piotr Pająk,"Co ChatGPT Mówi, Rosji? – ft. Piotr",2
11 Polacy Na Syberii – ft. Piotr Pająk,"Polacy Na, Syberii –, Piotr Pająk",3
10 Gdzie Nauczyć Się Rozmawiać z Ludźmi? – ft. Piotr Pająk,"Gdzie Nauczyć, Się Rozmawiać, Ludźmi? – ft. Piotr",3
09 Jak Rosjanie Reagują Na Polaków? – ft. Piotr Pająk,"Jak Rosjanie, Reagują Na Polaków, ? – ft. Piotr",3
08 Tam Ludzie Są Uzbrojeni Strasznie – ft. Piotr Pająk,"08 Tam, Ludzie Są, Uzbrojeni Strasznie, Piotr Pająk",4
07 Jak Działa Izraelska Agencja Wywiadowcza? – ft. Piotr Pająk,"07 Jak, Działa Izraelska, Agencja Wywiadowcza, Piotr Pająk",4
06 Najbrudniejsze Kraje Świata – ft. Piotr Pająk,"Najbrudniejsze Kraje, Świata – ft., Piotr Pająk",3
"05 Spokojnie, Ja Nie Jestem Bezdomny – ft. Piotr Pająk","05 Spokojnie, , Ja, Nie Jestem, Bezdomny – ft. Piotr",4
Cyfrowe euro nadchodzi. Czy Polska zostanie zmuszona je przyjąć? - Trader21,"Cyfrowe euro nadchodzi. Czy, Polska zostanie zmuszona je przyjąć? - Trader21",2
Chcieli bezgotówkowego raju. Dziś ostrzegają przed katastrofą - Trader21,Chcieli bezgotówkowego raju. Dziś ostrzegają przed katastrofą - Trader21,1
